pulled_on,published_at,video_id,title,views,likes,comments,url
2026-06-13,2026-06-13T17:37:30Z,JDnyFxuDpdI,Day 16 | The duties we owe are generally measured by our relatio — Epictetus,44,0,0,https://youtube.com/shorts/JDnyFxuDpdI
2026-06-13,2026-06-13T03:17:12Z,16EhiiMVOGs,Day 15 | I would rather have a man ask why no statue of me has b — Cato the Younger,101,5,0,https://youtube.com/shorts/16EhiiMVOGs
2026-06-13,2026-06-13T00:36:09Z,oCZC5RaCeDw,"Day 14 | The living being, from the moment of birth, perceives i — Hierocles",374,7,0,https://youtube.com/shorts/oCZC5RaCeDw
2026-06-13,2026-06-11T22:33:14Z,xYkjvnUmb6s,Living virtuously is equal to living in accordance with experience of  | Chrysippus,640,11,0,https://youtube.com/shorts/xYkjvnUmb6s
2026-06-13,2026-06-10T22:35:08Z,lXFma-NtLa8,"The fates guide the willing, but drag the unwilling. | Cleanthes",224,9,0,https://youtube.com/shorts/lXFma-NtLa8
2026-06-13,2026-06-10T21:47:50Z,n8MItlfdgB8,"We have two ears and one mouth, so we should listen more than we speak | Zeno of Citium",938,23,1,https://youtube.com/shorts/n8MItlfdgB8
2026-06-13,2026-06-10T01:03:10Z,v7_1bygaoI0,"Of things that exist, some are in our power, and some are not. We shou | Musonius Rufus",1050,30,0,https://youtube.com/shorts/v7_1bygaoI0
2026-06-13,2026-06-10T00:22:46Z,paiLb6IFvbk,You are living as if destined to live forever; your own frailty never  | Seneca,955,39,1,https://youtube.com/shorts/paiLb6IFvbk
2026-06-13,2026-06-09T22:03:55Z,YBWrR2JXG5M,"Whatever anyone does or says, I must be good. Like gold or emerald, ke | Marcus Aurelius",933,25,1,https://youtube.com/shorts/YBWrR2JXG5M
2026-06-13,2026-06-09T11:11:17Z,62_DzzBs1N0,"At dawn, when you struggle to rise, tell yourself: I am getting up to  | Marcus Aurelius",1055,48,4,https://youtube.com/shorts/62_DzzBs1N0
2026-06-13,2026-06-08T22:14:22Z,ajjwpsngSoc,"If you want to improve, be content to be seen as clueless or foolish i | Epictetus",564,36,0,https://youtube.com/shorts/ajjwpsngSoc
2026-06-13,2026-06-08T03:22:45Z,6C4AoNDU-2U,It is impossible for a man to learn what he thinks he already knows. | Epictetus,924,37,1,https://youtube.com/shorts/6C4AoNDU-2U
2026-06-13,2026-06-07T20:47:38Z,Vf1sBzz3bQ4,"It is not that we have a short time to live, but that we waste much of | Seneca",568,24,2,https://youtube.com/shorts/Vf1sBzz3bQ4
2026-06-13,2026-06-06T20:23:02Z,IacNDtMzEns,"It is not that we have a short time to live, but that we waste much of | Seneca",20,2,0,https://youtube.com/shorts/IacNDtMzEns
2026-06-14,2026-06-14T20:51:12Z,6gK4rVgWGeA,"Day 18 | While we wait to live, life passes. Nothing belongs to  — Seneca",0,0,0,https://youtube.com/shorts/6gK4rVgWGeA
2026-06-14,2026-06-13T20:53:18Z,1vW5QlYLtdY,Day 17 | The art of living is more like wrestling than dancing;  — Marcus Aurelius,163,3,0,https://youtube.com/shorts/1vW5QlYLtdY
2026-06-14,2026-06-13T17:37:30Z,JDnyFxuDpdI,Day 16 | The duties we owe are generally measured by our relatio — Epictetus,94,4,0,https://youtube.com/shorts/JDnyFxuDpdI
2026-06-14,2026-06-13T03:17:12Z,16EhiiMVOGs,Day 15 | I would rather have a man ask why no statue of me has b — Cato the Younger,154,6,0,https://youtube.com/shorts/16EhiiMVOGs
2026-06-14,2026-06-13T00:36:09Z,oCZC5RaCeDw,"Day 14 | The living being, from the moment of birth, perceives i — Hierocles",620,14,0,https://youtube.com/shorts/oCZC5RaCeDw
2026-06-14,2026-06-11T22:33:14Z,xYkjvnUmb6s,Living virtuously is equal to living in accordance with experience of  | Chrysippus,646,11,0,https://youtube.com/shorts/xYkjvnUmb6s
2026-06-14,2026-06-10T22:35:08Z,lXFma-NtLa8,"The fates guide the willing, but drag the unwilling. | Cleanthes",223,9,0,https://youtube.com/shorts/lXFma-NtLa8
2026-06-14,2026-06-10T21:47:50Z,n8MItlfdgB8,"We have two ears and one mouth, so we should listen more than we speak | Zeno of Citium",940,23,1,https://youtube.com/shorts/n8MItlfdgB8
2026-06-14,2026-06-10T01:03:10Z,v7_1bygaoI0,"Of things that exist, some are in our power, and some are not. We shou | Musonius Rufus",1054,30,0,https://youtube.com/shorts/v7_1bygaoI0
2026-06-14,2026-06-10T00:22:46Z,paiLb6IFvbk,You are living as if destined to live forever; your own frailty never  | Seneca,956,39,1,https://youtube.com/shorts/paiLb6IFvbk
2026-06-14,2026-06-09T22:03:55Z,YBWrR2JXG5M,"Whatever anyone does or says, I must be good. Like gold or emerald, ke | Marcus Aurelius",934,25,1,https://youtube.com/shorts/YBWrR2JXG5M
2026-06-14,2026-06-09T11:11:17Z,62_DzzBs1N0,"At dawn, when you struggle to rise, tell yourself: I am getting up to  | Marcus Aurelius",1057,48,4,https://youtube.com/shorts/62_DzzBs1N0
2026-06-14,2026-06-08T22:14:22Z,ajjwpsngSoc,"If you want to improve, be content to be seen as clueless or foolish i | Epictetus",565,36,0,https://youtube.com/shorts/ajjwpsngSoc
2026-06-14,2026-06-08T03:22:45Z,6C4AoNDU-2U,It is impossible for a man to learn what he thinks he already knows. | Epictetus,925,37,1,https://youtube.com/shorts/6C4AoNDU-2U
2026-06-14,2026-06-07T20:47:38Z,Vf1sBzz3bQ4,"It is not that we have a short time to live, but that we waste much of | Seneca",568,24,2,https://youtube.com/shorts/Vf1sBzz3bQ4
2026-06-14,2026-06-14T20:51:12Z,6gK4rVgWGeA,"Day 18 | While we wait to live, life passes. Nothing belongs to  — Seneca",4,0,0,https://youtube.com/shorts/6gK4rVgWGeA
2026-06-14,2026-06-13T20:53:18Z,1vW5QlYLtdY,Day 17 | The art of living is more like wrestling than dancing;  — Marcus Aurelius,172,3,0,https://youtube.com/shorts/1vW5QlYLtdY
2026-06-14,2026-06-13T17:37:30Z,JDnyFxuDpdI,Day 16 | The duties we owe are generally measured by our relatio — Epictetus,115,4,0,https://youtube.com/shorts/JDnyFxuDpdI
2026-06-14,2026-06-13T03:17:12Z,16EhiiMVOGs,Day 15 | I would rather have a man ask why no statue of me has b — Cato the Younger,155,6,0,https://youtube.com/shorts/16EhiiMVOGs
2026-06-14,2026-06-13T00:36:09Z,oCZC5RaCeDw,"Day 14 | The living being, from the moment of birth, perceives i — Hierocles",625,16,0,https://youtube.com/shorts/oCZC5RaCeDw
2026-06-14,2026-06-11T22:33:14Z,xYkjvnUmb6s,Living virtuously is equal to living in accordance with experience of  | Chrysippus,646,11,0,https://youtube.com/shorts/xYkjvnUmb6s
2026-06-14,2026-06-10T22:35:08Z,lXFma-NtLa8,"The fates guide the willing, but drag the unwilling. | Cleanthes",223,9,0,https://youtube.com/shorts/lXFma-NtLa8
2026-06-14,2026-06-10T21:47:50Z,n8MItlfdgB8,"We have two ears and one mouth, so we should listen more than we speak | Zeno of Citium",940,23,1,https://youtube.com/shorts/n8MItlfdgB8
2026-06-14,2026-06-10T01:03:10Z,v7_1bygaoI0,"Of things that exist, some are in our power, and some are not. We shou | Musonius Rufus",1054,30,0,https://youtube.com/shorts/v7_1bygaoI0
2026-06-14,2026-06-10T00:22:46Z,paiLb6IFvbk,You are living as if destined to live forever; your own frailty never  | Seneca,956,39,1,https://youtube.com/shorts/paiLb6IFvbk
2026-06-14,2026-06-09T22:03:55Z,YBWrR2JXG5M,"Whatever anyone does or says, I must be good. Like gold or emerald, ke | Marcus Aurelius",934,25,1,https://youtube.com/shorts/YBWrR2JXG5M
2026-06-14,2026-06-09T11:11:17Z,62_DzzBs1N0,"At dawn, when you struggle to rise, tell yourself: I am getting up to  | Marcus Aurelius",1057,48,4,https://youtube.com/shorts/62_DzzBs1N0
2026-06-14,2026-06-08T22:14:22Z,ajjwpsngSoc,"If you want to improve, be content to be seen as clueless or foolish i | Epictetus",565,36,0,https://youtube.com/shorts/ajjwpsngSoc
2026-06-14,2026-06-08T03:22:45Z,6C4AoNDU-2U,It is impossible for a man to learn what he thinks he already knows. | Epictetus,925,37,1,https://youtube.com/shorts/6C4AoNDU-2U
2026-06-14,2026-06-07T20:47:38Z,Vf1sBzz3bQ4,"It is not that we have a short time to live, but that we waste much of | Seneca",568,24,2,https://youtube.com/shorts/Vf1sBzz3bQ4
2026-06-15,2026-06-15T23:14:16Z,qL48RlSTrkM,"Day 11 | Cleanliness of the body is fitting, but to seem better  — Musonius Rufus",0,0,0,https://youtube.com/shorts/qL48RlSTrkM
2026-06-15,2026-06-14T20:51:12Z,6gK4rVgWGeA,"Day 18 | While we wait to live, life passes. Nothing belongs to  — Seneca",326,8,1,https://youtube.com/shorts/6gK4rVgWGeA
2026-06-15,2026-06-13T20:53:18Z,1vW5QlYLtdY,Day 17 | The art of living is more like wrestling than dancing;  — Marcus Aurelius,290,5,0,https://youtube.com/shorts/1vW5QlYLtdY
2026-06-15,2026-06-13T17:37:30Z,JDnyFxuDpdI,Day 16 | The duties we owe are generally measured by our relatio — Epictetus,125,4,0,https://youtube.com/shorts/JDnyFxuDpdI
2026-06-15,2026-06-13T03:17:12Z,16EhiiMVOGs,Day 15 | I would rather have a man ask why no statue of me has b — Cato the Younger,158,6,0,https://youtube.com/shorts/16EhiiMVOGs
2026-06-15,2026-06-13T00:36:09Z,oCZC5RaCeDw,"Day 14 | The living being, from the moment of birth, perceives i — Hierocles",630,16,0,https://youtube.com/shorts/oCZC5RaCeDw
2026-06-15,2026-06-11T22:33:14Z,xYkjvnUmb6s,Living virtuously is equal to living in accordance with experience of  | Chrysippus,647,11,0,https://youtube.com/shorts/xYkjvnUmb6s
2026-06-15,2026-06-10T22:35:08Z,lXFma-NtLa8,"The fates guide the willing, but drag the unwilling. | Cleanthes",223,9,0,https://youtube.com/shorts/lXFma-NtLa8
2026-06-15,2026-06-10T21:47:50Z,n8MItlfdgB8,"We have two ears and one mouth, so we should listen more than we speak | Zeno of Citium",940,23,2,https://youtube.com/shorts/n8MItlfdgB8
2026-06-15,2026-06-10T01:03:10Z,v7_1bygaoI0,"Of things that exist, some are in our power, and some are not. We shou | Musonius Rufus",1056,30,0,https://youtube.com/shorts/v7_1bygaoI0
2026-06-15,2026-06-10T00:22:46Z,paiLb6IFvbk,You are living as if destined to live forever; your own frailty never  | Seneca,956,39,2,https://youtube.com/shorts/paiLb6IFvbk
2026-06-15,2026-06-09T22:03:55Z,YBWrR2JXG5M,"Whatever anyone does or says, I must be good. Like gold or emerald, ke | Marcus Aurelius",934,25,2,https://youtube.com/shorts/YBWrR2JXG5M
2026-06-15,2026-06-09T11:11:17Z,62_DzzBs1N0,"At dawn, when you struggle to rise, tell yourself: I am getting up to  | Marcus Aurelius",1057,48,5,https://youtube.com/shorts/62_DzzBs1N0
2026-06-15,2026-06-08T22:14:22Z,ajjwpsngSoc,"If you want to improve, be content to be seen as clueless or foolish i | Epictetus",565,36,0,https://youtube.com/shorts/ajjwpsngSoc
2026-06-15,2026-06-08T03:22:45Z,6C4AoNDU-2U,It is impossible for a man to learn what he thinks he already knows. | Epictetus,925,37,1,https://youtube.com/shorts/6C4AoNDU-2U
2026-06-16,2026-06-15T23:14:16Z,qL48RlSTrkM,"Day 11 | Cleanliness of the body is fitting, but to seem better  — Musonius Rufus",2,0,0,https://youtube.com/shorts/qL48RlSTrkM
2026-06-16,2026-06-14T20:51:12Z,6gK4rVgWGeA,"Day 18 | While we wait to live, life passes. Nothing belongs to  — Seneca",364,9,1,https://youtube.com/shorts/6gK4rVgWGeA
2026-06-16,2026-06-13T20:53:18Z,1vW5QlYLtdY,Day 17 | The art of living is more like wrestling than dancing;  — Marcus Aurelius,288,5,0,https://youtube.com/shorts/1vW5QlYLtdY
2026-06-16,2026-06-13T17:37:30Z,JDnyFxuDpdI,Day 16 | The duties we owe are generally measured by our relatio — Epictetus,125,4,0,https://youtube.com/shorts/JDnyFxuDpdI
2026-06-16,2026-06-13T03:17:12Z,16EhiiMVOGs,Day 15 | I would rather have a man ask why no statue of me has b — Cato the Younger,158,6,0,https://youtube.com/shorts/16EhiiMVOGs
2026-06-16,2026-06-13T00:36:09Z,oCZC5RaCeDw,"Day 14 | The living being, from the moment of birth, perceives i — Hierocles",630,16,0,https://youtube.com/shorts/oCZC5RaCeDw
2026-06-16,2026-06-11T22:33:14Z,xYkjvnUmb6s,Living virtuously is equal to living in accordance with experience of  | Chrysippus,647,11,0,https://youtube.com/shorts/xYkjvnUmb6s
2026-06-16,2026-06-10T22:35:08Z,lXFma-NtLa8,"The fates guide the willing, but drag the unwilling. | Cleanthes",223,9,0,https://youtube.com/shorts/lXFma-NtLa8
2026-06-16,2026-06-10T21:47:50Z,n8MItlfdgB8,"We have two ears and one mouth, so we should listen more than we speak | Zeno of Citium",940,23,2,https://youtube.com/shorts/n8MItlfdgB8
2026-06-16,2026-06-10T01:03:10Z,v7_1bygaoI0,"Of things that exist, some are in our power, and some are not. We shou | Musonius Rufus",1056,30,0,https://youtube.com/shorts/v7_1bygaoI0
2026-06-16,2026-06-10T00:22:46Z,paiLb6IFvbk,You are living as if destined to live forever; your own frailty never  | Seneca,956,39,2,https://youtube.com/shorts/paiLb6IFvbk
2026-06-16,2026-06-09T22:03:55Z,YBWrR2JXG5M,"Whatever anyone does or says, I must be good. Like gold or emerald, ke | Marcus Aurelius",934,25,2,https://youtube.com/shorts/YBWrR2JXG5M
2026-06-16,2026-06-09T11:11:17Z,62_DzzBs1N0,"At dawn, when you struggle to rise, tell yourself: I am getting up to  | Marcus Aurelius",1057,48,5,https://youtube.com/shorts/62_DzzBs1N0
2026-06-16,2026-06-08T22:14:22Z,ajjwpsngSoc,"If you want to improve, be content to be seen as clueless or foolish i | Epictetus",565,36,0,https://youtube.com/shorts/ajjwpsngSoc
2026-06-16,2026-06-08T03:22:45Z,6C4AoNDU-2U,It is impossible for a man to learn what he thinks he already knows. | Epictetus,925,37,1,https://youtube.com/shorts/6C4AoNDU-2U
2026-06-16,2026-06-15T23:14:16Z,qL48RlSTrkM,"Day 11 | Cleanliness of the body is fitting, but to seem better  — Musonius Rufus",134,1,0,https://youtube.com/shorts/qL48RlSTrkM
2026-06-16,2026-06-14T20:51:12Z,6gK4rVgWGeA,"Day 18 | While we wait to live, life passes. Nothing belongs to  — Seneca",412,10,1,https://youtube.com/shorts/6gK4rVgWGeA
2026-06-16,2026-06-13T20:53:18Z,1vW5QlYLtdY,Day 17 | The art of living is more like wrestling than dancing;  — Marcus Aurelius,292,5,0,https://youtube.com/shorts/1vW5QlYLtdY
2026-06-16,2026-06-13T17:37:30Z,JDnyFxuDpdI,Day 16 | The duties we owe are generally measured by our relatio — Epictetus,126,4,0,https://youtube.com/shorts/JDnyFxuDpdI
2026-06-16,2026-06-13T03:17:12Z,16EhiiMVOGs,Day 15 | I would rather have a man ask why no statue of me has b — Cato the Younger,158,6,0,https://youtube.com/shorts/16EhiiMVOGs
2026-06-16,2026-06-13T00:36:09Z,oCZC5RaCeDw,"Day 14 | The living being, from the moment of birth, perceives i — Hierocles",638,16,0,https://youtube.com/shorts/oCZC5RaCeDw
2026-06-16,2026-06-11T22:33:14Z,xYkjvnUmb6s,Living virtuously is equal to living in accordance with experience of  | Chrysippus,648,11,0,https://youtube.com/shorts/xYkjvnUmb6s
2026-06-16,2026-06-10T22:35:08Z,lXFma-NtLa8,"The fates guide the willing, but drag the unwilling. | Cleanthes",219,9,0,https://youtube.com/shorts/lXFma-NtLa8
2026-06-16,2026-06-10T21:47:50Z,n8MItlfdgB8,"We have two ears and one mouth, so we should listen more than we speak | Zeno of Citium",940,23,2,https://youtube.com/shorts/n8MItlfdgB8
2026-06-16,2026-06-10T01:03:10Z,v7_1bygaoI0,"Of things that exist, some are in our power, and some are not. We shou | Musonius Rufus",1054,30,0,https://youtube.com/shorts/v7_1bygaoI0
2026-06-16,2026-06-10T00:22:46Z,paiLb6IFvbk,You are living as if destined to live forever; your own frailty never  | Seneca,956,39,2,https://youtube.com/shorts/paiLb6IFvbk
2026-06-16,2026-06-09T22:03:55Z,YBWrR2JXG5M,"Whatever anyone does or says, I must be good. Like gold or emerald, ke | Marcus Aurelius",934,25,2,https://youtube.com/shorts/YBWrR2JXG5M
2026-06-16,2026-06-09T11:11:17Z,62_DzzBs1N0,"At dawn, when you struggle to rise, tell yourself: I am getting up to  | Marcus Aurelius",1051,48,5,https://youtube.com/shorts/62_DzzBs1N0
2026-06-16,2026-06-08T22:14:22Z,ajjwpsngSoc,"If you want to improve, be content to be seen as clueless or foolish i | Epictetus",565,36,0,https://youtube.com/shorts/ajjwpsngSoc
2026-06-16,2026-06-08T03:22:45Z,6C4AoNDU-2U,It is impossible for a man to learn what he thinks he already knows. | Epictetus,925,37,1,https://youtube.com/shorts/6C4AoNDU-2U
2026-06-17,2026-06-16T23:00:44Z,sKmNkVEAiiU,"Day 12 | If I followed the crowd, I would not be a philosopher. — Chrysippus",20,1,0,https://youtube.com/shorts/sKmNkVEAiiU
2026-06-17,2026-06-15T23:14:16Z,qL48RlSTrkM,"Day 11 | Cleanliness of the body is fitting, but to seem better  — Musonius Rufus",133,1,0,https://youtube.com/shorts/qL48RlSTrkM
2026-06-17,2026-06-14T20:51:12Z,6gK4rVgWGeA,"Day 18 | While we wait to live, life passes. Nothing belongs to  — Seneca",416,10,1,https://youtube.com/shorts/6gK4rVgWGeA
2026-06-17,2026-06-13T20:53:18Z,1vW5QlYLtdY,Day 17 | The art of living is more like wrestling than dancing;  — Marcus Aurelius,292,5,0,https://youtube.com/shorts/1vW5QlYLtdY
